auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,7.2,,20,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Naughty Scot Scotch Ale,rock-bottom-restaurant-brewery-naughty-scot-scotch-ale,Scotch Ale / Wee Heavy,16642,1792,https://untappd.akamaized.net/site/brewery_logos/brewery-RockBottomRestaurantBrewery_1792.jpeg,Rock Bottom Restaurant & Brewery,rock-bottom-restaurant-brewery,Brew Pub,https://www.facebook.com/RockBottomRestaurant,rockbottom,http://www.rockbottom.com,United States,Chattanooga,TN,35.0369,-85.3093,,,"Fri, 24 Dec 2010 13:13:57 +0000",0,1,,,,2577,3.65008,32,3321,2899,0,,,,,,2.0,"[{'beer': {'bid': 94503, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'rock-bottom-restaurant-and-brewery-barrel-aged-naughty-scot', 'beer_name': 'Barrel Aged Naughty Scot', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 221512, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'rock-bottom-restaurant-and-brewery-bourbon-barrel-naughty-scot', 'beer_name': 'Bourbon Barrel Naughty Scot', 'is_vintage': 0, 'is_variant': 1}}]",3.65016,False
0,8.5,"Famous for small batch beers  and intense flavors, members of the Port Brewing Crew came to Belgium for the first time as a group in March 2007 to attend the Zythos Beer Fest and created this collaboration brew at De Proef Brouwerij with Dirk in a celebration of brewing cultures.

We designed this SIGNATURE ALE as a hybrid of American and Belgian brewing techniques. The stated end goal was a SIGNATURE ALE made with decidely American Hopping additions and finished with the traditional Belgian yeast flavor of Brettanomyces. It is brewed to an original gravity of 1.076 (19 Plato) and SRM of 10. We used a generous amount of Amarillo, UK Phoenix and German Brewer's Gold hops in the boil and dry hopping during conditioning. We fermented using both strains of traditional sacchromyces and brettanomyces yeast.

SIGNATURE ALE is a pale golden colored ale capped with a prodigious rocky white foam. The hops come together in a blend of far east spices and new world citrus which are tempered by an underlying subtle tartness from the yeast. These notes would be out of balance were it not for a generous maltiness that holds the beer in check with becoming too sweet. Designed with a resinous hop quality in mind, we believe this to be a new world example of old world exploration. We salute the brewers and their journey as we release this beer on its travels.",0,https://untappd.akamaized.net/site/beer_logos/beer-21937_d7056_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-21937_1b9a6_hd.jpeg,Signature Ale,de-proefbrouwerij-signature-ale,Belgian Strong Golden Ale,21937,432,https://untappd.akamaized.net/site/brewery_logos/brewery-DeProefbrouwerij_432.jpeg,De Proefbrouwerij,de-proefbrouwerij,Micro Brewery,,,http://www.proefbrouwerij.com/,Belgium,Lochristi,Oost-Vlaanderen,51.1161,3.8164,1.0,"[{'brewery': {'brewery_id': 1009, 'brewery_name': 'Port Brewing Company', 'brewery_type': 'Micro Brewery', 'brewery_label': 'https://untappd.akamaized.net/site/brewery_logos/brewery-portbrewingcompany_1009.jpeg', 'country_name': 'United States', 'location': {'brewery_city': 'San Marcos', 'brewery_state': 'CA'}}}]","Thu, 06 Jan 2011 10:01:54 +0000",0,1,21937.0,"Wed, 22 Feb 2012 22:13:03 +0000",16643.0,2468,3.78272,10,3009,2829,0,,,,,,0.0,[],3.76822,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Obama Nation Imperial Stout,dtoc-brewing-company-obama-nation-imperial-stout,Stout - Russian Imperial,16644,4315,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,DTOC Brewing Company,dtoc-brewing-company,Micro Brewery,,,,United States,,,0.0,0.0,,,"Fri, 24 Dec 2010 13:16:48 +0000",0,1,,,,0,0.0,0,1,1,0,,,,,,0.0,[],3.59537,False
0,0.0,Tasty homebrew,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,DICP,toad-road-brewing-dicp,Winter Warmer,16645,4109,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Toad Road Brewing,toad-road-brewing,Home Brewery,,,,United States,,,0.0,0.0,,,"Fri, 24 Dec 2010 13:18:27 +0000",1,1,,,,0,0.0,0,1,1,0,,,,,,0.0,[],3.786,False
0,6.0,"A golden-amber, hop-accented, English ""winter warmer"" brewed without spices. It's lighter on the palate than the other Ridgeway holiday beers.",0,https://untappd.akamaized.net/site/beer_logos/beer-_16646_1a4c00f9942fd319936963ff4eef.jpeg,,Reindeer's Revolt,ridgeway-brewing-reindeer-s-revolt,Winter Warmer,16646,1056,https://untappd.akamaized.net/site/brewery_logos/brewery-1056_2c706.jpeg,Ridgeway Brewing,ridgeway-brewing,Micro Brewery,,RidgewayBrewery,http://www.ridgewaybrewery.co.uk/,England,,"South Stoke, Oxfordshire",51.5463,-1.13512,,,"Fri, 24 Dec 2010 13:30:32 +0000",0,1,,,,2878,3.17391,10,3376,3273,0,,,,,,0.0,[],3.21961,False
0,5.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-YukonRed_16647.jpeg,,Yukon Red,yukon-brewing-yukon-red,Red Ale - American Amber / Red,16647,4607,https://untappd.akamaized.net/site/brewery_logos/brewery-YukonBrewingCompany_4607.jpeg,Yukon Brewing,yukon-brewing,Micro Brewery,http://www.facebook.com/yukonbeer,yukonbeer,http://yukonbeer.com,Canada,Whitehorse,YT,60.7378,-135.079,,,"Fri, 24 Dec 2010 13:32:39 +0000",0,1,,,,2131,3.42269,24,3090,2367,0,,,,,,0.0,[],3.45126,False
0,6.5,"Steenbrugge Dubbel Bruin abbey beer is a brown beer with a straightforward, malty-caramel character and a fruity, lightly smoked yeast aroma combined with the subtle Bruges ?gruut? blend of herbs and spices, with an emphasis on cinnamon. Topfermentation beer with secondary fermentation in the bottle.

The secret of Steenbrugge abbey beer is the unique ?gruut? blend of herbs and spices, which gives the beer its delicious flavour. Every town used to have its own beer, each with its own individual character. In Bruges that character was determined by a blend of herbs and spices that brewers were obliged to purchase from the city?s herbs and spices shop, known as the ?Gruuthuse?. In Steenbrugge Dubbel Bruin this medieval tradition is continued.
",0,https://untappd.akamaized.net/site/beer_logos/beer-16648_5c705_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-16648_b0032_hd.jpeg,Steenbrugge Dubbel Bruin,de-gouden-boom-steenbrugge-dubbel-bruin,Belgian Dubbel,16648,115389,https://untappd.akamaized.net/site/brewery_logos/brewery-115389_df1d6.jpeg,De Gouden Boom,de-gouden-boom,Micro Brewery,,,,Belgium,Brugge,,51.2093,3.2247,,,"Fri, 24 Dec 2010 13:32:41 +0000",0,1,,,,7666,3.45395,232,9153,8442,0,,,,,,0.0,[],3.46149,False
0,4.4,"An iconic American Lager famous for its rich amber color and medium bodied flavor with roasted caramel malt for a subtle sweetness and a combination of cluster and cascade hops, this true original delivers a well balanced taste with very distinct character.

Learn more: http://www.yuengling.com/lager",0,https://untappd.akamaized.net/site/beer_logos/beer-16649_cf1d5_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-16649_5e858_hd.jpeg,Traditional Lager,yuengling-brewery-traditional-lager,Lager - American Amber / Red,16649,1976,https://untappd.akamaized.net/site/brewery_logos/brewery-YuenglingBrewery_1976.jpeg,Yuengling Brewery,yuengling-brewery,Micro Brewery,https://www.facebook.com/Yuengling,Yuengling_Beer,http://www.yuengling.com/,United States,Pottsville,PA,40.6856,-76.1955,,,"Fri, 24 Dec 2010 13:33:40 +0000",0,1,,,,296128,3.47775,14248,1137045,344569,0,,,,,,0.0,[],3.47792,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Peach Wheat,dunedin-brewery-peach-wheat,Pale Wheat Ale - American,16650,471,https://untappd.akamaized.net/site/brewery_logos/brewery-DunedinBrewery_471.jpeg,Dunedin Brewery,dunedin-brewery,Micro Brewery,www.facebook.com/DunedinBrewery,dunedinbrewery,http://www.dunedinbrewery.com/,United States,Dunedin,FL,28.014,-82.7876,,,"Fri, 24 Dec 2010 13:37:56 +0000",0,1,,,,5,0.0,0,8,8,0,,,,,,0.0,[],3.59086,False
0,6.0,"A specially brewed wheat ale infused with Brewmaster Carlos? secret blend of fresh and fire roasted chilies. ?It?s hot boy!?
2004 GABF Silver Medal Winner
",15,https://untappd.akamaized.net/site/beer_logos/beer-16651_d1f77_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-16651_a9db2_hd.jpeg,Chili Pepper Ale,six-rivers-brewery-chili-pepper-ale,Spiced / Herbed Beer,16651,1148,https://untappd.akamaized.net/site/brewery_logos/brewery-1148_29fdc.jpeg,Six Rivers Brewery,six-rivers-brewery,Micro Brewery,https://www.facebook.com/SixRiversBrewery,sixriversbrew,http://www.sixriversbrewery.com/,United States,McKinleyville,CA,40.9289,-124.103,,,"Fri, 24 Dec 2010 13:41:18 +0000",0,1,,,,2283,3.24288,11,2967,2641,0,,,,,,0.0,[],3.29097,False
0,13.8,"NOTE: ABV varies for this product.

This Imperial Stout has been matured in specially selected Islay Malt Whisky casks.

This aging process infuses into the beer all the threatening smoke, the encapsulating peat, the Atlantic essence and raw power of Scotland?s most distinctive Whiskies.",70,https://untappd.akamaized.net/site/beer_logos/beer-ParadoxIslay_16652.jpeg,,Paradox Islay,brewdog-paradox-islay,Stout - American Imperial / Double,16652,241,https://untappd.akamaized.net/site/brewery_logos/brewery-241_8c584.jpeg,BrewDog,brewdog,Micro Brewery,http://www.facebook.com/pages/BrewDog/21251598643,BrewDog,http://www.brewdog.com,Scotland,Ellon,Aberdeenshire,57.3716,-2.04834,,,"Fri, 24 Dec 2010 13:44:51 +0000",0,0,,,,1338,3.94077,3,1611,1495,0,,,,,,3.0,"[{'beer': {'bid': 1393939, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewdog-paradox-islay-bowmore-1998', 'beer_name': 'Paradox Islay - Bowmore 1998', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1558116, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewdog-paradox-islay-2007', 'beer_name': 'Paradox Islay (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 2004287, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'brewdog-paradox-islay-batch-004-anniversary-edition', 'beer_name': 'Paradox Islay (Batch 004) Anniversary Edition', 'is_vintage': 1, 'is_variant': 0}}]",3.88696,False
0,5.8,"A robust vanilla porter based on our own Black Pearl. Our Arctic Blast is a Briess pale malt, balanced with Roast, Dark, Crystal and Munich malts ? allowing for the perfect mix of malted barley in this robust porter with Madagascar vanilla bean.

Lightly hopped to allow a slight roast, dominant chocolate and vanilla bean character to come through. This beer borders on the low end of the IBU scale and the high side for Original Gravity.",0,https://untappd.akamaized.net/site/beer_logos/beer-_16653_sm_b4d0135f2d27f4fc048f185bcdc24b.jpeg,,Arctic Blast Vanilla Porter,vertigo-brewing-arctic-blast-vanilla-porter,Porter - American,16653,3352,https://untappd.akamaized.net/site/brewery_logos/brewery-3352_489a2.jpeg,Vertigo Brewing,vertigo-brewing,Micro Brewery,,VertigoBrew,http://www.vertigobrew.com/,United States,Hillsboro,OR,45.5317,-122.896,,,"Fri, 24 Dec 2010 13:46:40 +0000",0,1,,,,1394,3.70534,10,1982,1511,0,,,,,,0.0,[],3.69554,False
0,8.5,"The natural aromas of the peach extracts mingle well with the hoppy-bitterness of the Bush Ambr?e. A sweet initial taste of peaches, soon developing with those characteristic Bush yeast flavours, all riding along on a firm body. The impression left is of a balanced fruit beer that tastes full in the mouth, gifting both palate and nose with lingering notes of peach.",16,https://untappd.akamaized.net/site/beer_logos/beer-27604_43062_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-27604_625f2_hd.jpeg,P?che Mel Bush,brasserie-dubuisson-peche-mel-bush,Fruit Beer,27604,188,https://untappd.akamaized.net/site/brewery_logos/brewery-188_33c21.jpeg,Brasserie Dubuisson,brasserie-dubuisson,Macro Brewery,https://www.facebook.com/brasseriedubuisson,BrDubuisson,http://www.br-dubuisson.com,Belgium,Pipaix,Hainaut,50.5878,3.54246,,,"Sun, 30 Jan 2011 06:48:52 +0000",0,1,27604.0,"Thu, 01 Jan 1970 00:00:00 +0000",16654.0,8540,3.54573,193,10910,9726,0,,,,,,0.0,[],3.54935,False
0,9.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-_9975_sm_caef81c11aab186c0f464c185ef41f.jpeg,,Trader Joe's Vintage Ale (2010),unibroue-trader-joe-s-vintage-ale-2010,Belgian Strong Dark Ale,9975,1307,https://untappd.akamaized.net/site/brewery_logos/brewery-1307_5ff7b.jpeg,Unibroue,unibroue,Micro Brewery,http://www.facebook.com/unibroue,Unibroue,http://www.unibroue.com,Canada,Chambly,QC,45.4418,-73.2595,,,"Fri, 19 Nov 2010 09:37:59 +0000",0,0,9975.0,"Thu, 01 Jan 1970 00:00:00 +0000",16655.0,1183,3.65342,1,1859,1564,0,9.2,Trader Joe's Vintage Ale,unibroue-trader-joe-s-vintage-ale,21748.0,91.0,,,3.6529,False
0,6.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-1804_791a1_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-1804_3d976_hd.jpeg,Oude Gueuze,hanssens-artisanaal-oude-gueuze,Sour - Gueuze,1804,630,https://untappd.akamaized.net/site/brewery_logos/brewery-630_188d2.jpeg,Hanssens Artisanaal,hanssens-artisanaal,Micro Brewery,https://www.facebook.com/pages/Geuze-Hanssens-Artisanaal/53662941860,,http://users.belgacom.net/gc762821/NL/brouwers/hanssens/hanssens.htm,Belgium,1653 Dworp,,50.7288,4.2972,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,1804.0,"Thu, 01 Jan 1970 00:00:00 +0000",16660.0,15934,4.04672,780,21509,17834,0,,,,,,5.0,"[{'beer': {'bid': 74467, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-74467_3cfaa_sm.jpeg', 'beer_slug': 'hanssens-artisanaal-oude-gueuze-1995', 'beer_name': 'Oude Gueuze (1995)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 152049, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-152049_412a4_sm.jpeg', 'beer_slug': 'hanssens-artisanaal-oude-gueuze-1955', 'beer_name': 'Oude Gueuze (1955)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 206795, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-206795_a71b4_sm.jpeg', 'beer_slug': 'hanssens-artisanaal-oude-gueuze-2001', 'beer_name': 'Oude Gueuze (2001)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 319177, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-319177_b195b_sm.jpeg', 'beer_slug': 'hanssens-artisanaal-oude-gueuze-1983', 'beer_name': 'Oude Gueuze (1983)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 325363, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-325363_795fc_sm.jpeg', 'beer_slug': 'hanssens-artisanaal-oude-gueuze-1998', 'beer_name': 'Oude Gueuze (1998)', 'is_vintage': 1, 'is_variant': 0}}]",4.03929,False
0,8.0,A full-flavored black ale.  The beer is infused with raspberry in addition to a locally roasted cacao from local cacao roasters at Escazu.  It culminates with an amazing dark raspberry and chocolate finish.,65,https://untappd.akamaized.net/site/beer_logos/beer-BigBossBigOperator.jpg,,Big Operator,big-boss-brewing-company-big-operator,Belgian Strong Dark Ale,16662,113,https://untappd.akamaized.net/site/brewery_logos/brewery-113_faf99.jpeg,Big Boss Brewing Company,big-boss-brewing-company,Micro Brewery,http://www.facebook.com/pages/Big-Boss-Brewery/177203328692,bigbossbeer,http://bigbossbrewing.com/,United States,Raleigh,NC,35.8104,-78.6179,,,"Fri, 24 Dec 2010 13:58:06 +0000",0,1,,,,2894,3.72244,40,4589,3383,0,,,,,,4.0,"[{'beer': {'bid': 435579, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'big-boss-brewing-company-big-operator-2011', 'beer_name': 'Big Operator (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 575585, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'big-boss-brewing-company-big-operator-2014', 'beer_name': 'Big Operator (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1456500, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'big-boss-brewing-company-big-operator-2016', 'beer_name': 'Big Operator (2016)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1456505, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'big-boss-brewing-company-big-operator-2015', 'beer_name': 'Big Operator (2015)', 'is_vintage': 1, 'is_variant': 0}}]",3.71562,False
