beer.auth_rating,beer.beer_abv,beer.beer_description,beer.beer_ibu,beer.beer_label,beer.beer_name,beer.beer_slug,beer.beer_style,beer.bid,beer.created_at,beer.rating_count,beer.rating_score,beer.wish_list,brewery.brewery_active,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.contact.facebook,brewery.contact.instagram,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,count,first_checkin_id,first_created_at,first_had,rating_score,recent_checkin_id,recent_created_at,recent_created_at_timezone
4.0,10.4,Freshly emptied bourbon barrels and an audacious amount of coconut complement the chocolatey nature of this decadent porter.,0,https://untappd.akamaized.net/site/beer_logos/beer-1472063_98400_sm.jpeg,Coconut Porter,avery-brewing-co-coconut-porter,Porter - Imperial / Double,1472063,"Fri, 18 Mar 2016 11:05:31 +0000",1811,3.971,False,1,62,https://untappd.akamaized.net/site/brewery_logos/brewery-avery.jpg,Avery Brewing Co.,avery-brewing-co,https://www.facebook.com/AveryBrewingCo,averybrewingco,AveryBrewingCo,http://www.averybrewing.com/,United States,Boulder,CO,40.0625,-105.205,1,440691394,"Sat, 15 Apr 2017 13:11:51 -0600","Sat, 15 Apr 2017 13:11:51 -0600",4.0,440691394,"Sat, 15 Apr 2017 13:11:51 -0600",-6
4.0,9.2,This dangerously drinkable garnet beauty is a hop lover’s delight. The intense dry-hop nose and the alcohol content are perfectly balanced for a caramel malt backbone. This is a serious beer for serious beer aficionados. Oink! ,104,https://untappd.akamaized.net/site/beer_logos/beer-2224_7042f_sm.jpeg,Hog Heaven ,avery-brewing-co-hog-heaven,IPA - Imperial / Double,2224,"Sat, 21 Aug 2010 09:26:35 +0000",26386,3.79,False,1,62,https://untappd.akamaized.net/site/brewery_logos/brewery-avery.jpg,Avery Brewing Co.,avery-brewing-co,https://www.facebook.com/AveryBrewingCo,averybrewingco,AveryBrewingCo,http://www.averybrewing.com/,United States,Boulder,CO,40.0625,-105.205,1,440686113,"Sat, 15 Apr 2017 13:06:00 -0600","Sat, 15 Apr 2017 13:06:00 -0600",4.0,440686113,"Sat, 15 Apr 2017 13:06:00 -0600",-6
4.0,10.2,"Maharaja is derived from the sanskrit words mahat, - ""great"" and rajan - ""king"". Much like its namesake, this imperial IPA is regal, intense and mighty. With hops and malts as his servants, he rules both with a heavy hand. The Maharaja flaunts his authority over a deranged amount of hops: tangy, vibrant and pungent along with an insane amount of malted barley - fashioning a dark amber hue and exquisite malt essence. This newest Avery Dictator completes the ""Dictator Series"" joining the likes of The Kaiser & The Czar. Be aware that The Maharaja is a limited release only available for the summer. Welcome to his kingdom! 
Editor’s Note: the 2007 version was 9.78%.
2014 - 10.2%",102,https://untappd.akamaized.net/site/beer_logos/beer-Maharaja_4515.jpeg,The Maharaja,avery-brewing-company-maharaja,IPA - Imperial / Double,4515,"Sat, 21 Aug 2010 09:26:35 +0000",78831,4.071000000000001,False,1,62,https://untappd.akamaized.net/site/brewery_logos/brewery-avery.jpg,Avery Brewing Co.,avery-brewing-co,https://www.facebook.com/AveryBrewingCo,averybrewingco,AveryBrewingCo,http://www.averybrewing.com/,United States,Boulder,CO,40.0625,-105.205,1,440683355,"Sat, 15 Apr 2017 13:02:47 -0600","Sat, 15 Apr 2017 13:02:47 -0600",4.0,440683355,"Sat, 15 Apr 2017 13:02:47 -0600",-6
4.0,0.0,NO_INFORMATION,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,Sherpa Yeti Stout,sherpa-house-sherpa-yeti-stout,Stout - Other,1073290,"Mon, 04 May 2015 04:08:16 +0000",59,3.805,False,1,187031,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Sherpa House,sherpa-house,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION,United States,NO_INFORMATION,NO_INFORMATION,0.0,0.0,1,440281208,"Fri, 14 Apr 2017 18:09:24 -0600","Fri, 14 Apr 2017 18:09:24 -0600",4.0,440281208,"Fri, 14 Apr 2017 18:09:24 -0600",-6
3.25,5.2,Traditional German Dunkel,0,https://untappd.akamaized.net/site/beer_logos/beer-675110_494a2_sm.jpeg,Dunkel,prost-brewing-company-dunkel,Lager - Dunkel Munich,675110,"Fri, 09 May 2014 21:14:00 +0000",6027,3.6710000000000003,False,1,36156,https://untappd.akamaized.net/site/brewery_logos/brewery-ProstBrewingCompany_36156.jpeg,Prost Brewing Company,prost-brewing-company,https://www.facebook.com/ProstBrewing,NO_INFORMATION,ProstBrewing,http://www.prostbrewing.com,United States,Denver,CO,39.7603,-105.00399999999999,1,439876019,"Thu, 13 Apr 2017 21:56:52 -0600","Thu, 13 Apr 2017 21:56:52 -0600",3.25,439876019,"Thu, 13 Apr 2017 21:56:52 -0600",-6
3.5,6.5,"Avery IPA features a citrusy, floral bouquet and a rich, malty finish. ",69,https://untappd.akamaized.net/site/beer_logos/beer-10773_00c41_sm.jpeg,India Pale Ale (IPA),avery-brewing-co-india-pale-ale-ipa,IPA - American,10773,"Wed, 24 Nov 2010 13:20:29 +0000",74092,3.617,False,1,62,https://untappd.akamaized.net/site/brewery_logos/brewery-avery.jpg,Avery Brewing Co.,avery-brewing-co,https://www.facebook.com/AveryBrewingCo,averybrewingco,AveryBrewingCo,http://www.averybrewing.com/,United States,Boulder,CO,40.0625,-105.205,1,439867330,"Thu, 13 Apr 2017 21:24:07 -0600","Thu, 13 Apr 2017 21:24:07 -0600",3.5,439867330,"Thu, 13 Apr 2017 21:24:07 -0600",-6
3.75,6.0,NO_INFORMATION,65,https://untappd.akamaized.net/site/beer_logos/beer-_26294_b5d54cb5876227cb9b364a126946.jpeg,Third Eye Pale Ale,steamworks-brewing-co-third-eye-pale-ale,Pale Ale - American,26294,"Sun, 23 Jan 2011 23:07:48 +0000",2185,3.608,False,1,4410,https://untappd.akamaized.net/site/brewery_logos/brewery-SteamworksBrewingCo_4410.jpeg,Steamworks Brewing Co. (Colorado),steamworks-brewing-co-colorado,http://www.facebook.com/steamworksbrewing,steamworksbrewing,Stmworks,http://steamworksbrewing.com/,United States,Durango,CO,37.2724,-107.88,1,439757467,"Thu, 13 Apr 2017 18:02:08 -0600","Thu, 13 Apr 2017 18:02:08 -0600",3.75,439757467,"Thu, 13 Apr 2017 18:02:08 -0600",-6
4.0,5.3,"Each year we select the rock-star hops of the harvest to craft this bold, juicy, tropcially hop-forward brew, drumming up a citrus inspired rhythm for what's to come.",40,https://untappd.akamaized.net/site/beer_logos/beer-1600793_53215_sm.jpeg,Drumroll APA,odell-brewing-co-drumroll-apa,Pale Ale - American,1600793,"Mon, 13 Jun 2016 19:08:49 +0000",21756,3.8080000000000003,False,1,7296,https://untappd.akamaized.net/site/brewery_logos/brewery-OdellBrewingCo_7296.jpeg,Odell Brewing Co.,odell-brewing-co,http://www.facebook.com/OdellBrewingCo?ref=ts,@odellbrewing,OdellBrewing,http://odellbrewing.com,United States,Fort Collins,CO,40.5888,-105.06200000000001,2,438862237,"Mon, 10 Apr 2017 17:50:43 -0600","Mon, 10 Apr 2017 17:50:43 -0600",4.0,448574869,"Fri, 05 May 2017 18:05:58 -0600",-6
3.5,5.5,"American Brown
With Cocoa & Coffee",27,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,Java Bound,new-terrain-brewing-co-java-bound,Brown Ale - American,1751883,"Tue, 27 Sep 2016 20:47:52 +0000",150,3.795,False,1,299073,https://untappd.akamaized.net/site/brewery_logos/brewery-299073_dcc67.jpeg,New Terrain Brewing Co.,new-terrain-brewing-co,https://www.facebook.com/newterrainbrewing/,newterrainbrewingco,newterrainbrew,http://newterrainbrewing.com/home,United States,Golden,CO,39.7796,-105.186,1,438843895,"Mon, 10 Apr 2017 17:00:40 -0600","Mon, 10 Apr 2017 17:00:40 -0600",3.5,438843895,"Mon, 10 Apr 2017 17:00:40 -0600",-6
3.75,5.5,"One Claw is a rye pale ale made with a heavy handful of malted rye and scoops of our favorite hop varieties. One Claw is dedicated to those who bring a Westbrook home, to a friend’s, or anywhere a delicious beer is needed. Cheers to you, fellow One Claw! Hopped with Amarillo, Nelson Sauvin, and Citra.",52,https://untappd.akamaized.net/site/beer_logos/beer-_371158_sm_6c4ec057faae480563e438c808b09a.jpeg,One Claw,westbrook-brewing-co-one-claw,Rye Beer,371158,"Fri, 24 May 2013 16:21:13 +0000",31105,3.7910000000000004,False,1,10905,https://untappd.akamaized.net/site/brewery_logos/brewery-10905_a3666.jpeg,Westbrook Brewing Co.,westbrook-brewing-co,http://www.facebook.com/pages/Westbrook-Brewing-Company/327659622509,westbrookbrewingco,westbrookbeer,http://www.westbrookbrewing.com,United States,Mt Pleasant,SC,32.8467,-79.8768,1,437868644,"Sat, 08 Apr 2017 16:39:47 -0400","Sat, 08 Apr 2017 16:39:47 -0400",3.75,437868644,"Sat, 08 Apr 2017 16:39:47 -0400",-4
3.5,5.0,NO_INFORMATION,16,https://untappd.akamaized.net/site/beer_logos/beer-WhiteThai_15894.jpeg,White Thai,westbrook-brewing-co-white-thai,Witbier,15894,"Tue, 21 Dec 2010 12:01:42 +0000",29399,3.572,False,1,10905,https://untappd.akamaized.net/site/brewery_logos/brewery-10905_a3666.jpeg,Westbrook Brewing Co.,westbrook-brewing-co,http://www.facebook.com/pages/Westbrook-Brewing-Company/327659622509,westbrookbrewingco,westbrookbeer,http://www.westbrookbrewing.com,United States,Mt Pleasant,SC,32.8467,-79.8768,1,437864480,"Sat, 08 Apr 2017 16:35:42 -0400","Sat, 08 Apr 2017 16:35:42 -0400",3.5,437864480,"Sat, 08 Apr 2017 16:35:42 -0400",-4
3.75,6.3,"Mosaic, El Dorado, Cascade, and Comet hops join in harmony to produce a juicy, tropical treat with a distinct, dry finish. ",68,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,Juicy Jay,legion-brewing-juicy-j,IPA - American,1354532,"Thu, 17 Dec 2015 19:28:17 +0000",3694,3.8560000000000003,False,1,241639,https://untappd.akamaized.net/site/brewery_logos/brewery-241639_cf86b.jpeg,Legion Brewing Company,legion-brewing-company,https://www.facebook.com/LegionBrewing/,NO_INFORMATION,LegionBrewing,http://www.legionbrewing.com/,United States,Charlotte,NC,35.2184,-80.813,1,437148487,"Fri, 07 Apr 2017 16:54:29 -0400","Fri, 07 Apr 2017 16:54:29 -0400",3.75,437148487,"Fri, 07 Apr 2017 16:54:29 -0400",-4
3.25,5.1,"A golden pale having a slightly malty body balanced by an assertive American hop flavor. This pale ale displays a delicate hop nose due to the process of dry hopping. A crisp and refreshing beer perfect for any occasion.

IBU: 24
Alcohol content: 5.2% by volume
Hops: Chinook and Cascade

Calories per 12 oz. 170.1
Carbs per 12 oz. 15.65",24,https://untappd.akamaized.net/site/beer_logos/beer-_4465_sm_a57decf495bac0554aaf8954eaa8aa.jpeg,St. Terese's Pale Ale,highland-brewing-company-st-terese-s-pale-ale,Pale Ale - American,4465,"Sat, 21 Aug 2010 09:26:35 +0000",15542,3.5039999999999996,False,1,658,https://untappd.akamaized.net/site/brewery_logos/brewery-HighlandBrewingCo_658.jpeg,Highland Brewing Company,highland-brewing-company,https://www.facebook.com/HighlandBrewingCompany,HighlandBrewing,highlandbrews,http://www.highlandbrewing.com,United States,Asheville,NC,35.5711,-82.4982,1,437147058,"Fri, 07 Apr 2017 16:52:28 -0400","Fri, 07 Apr 2017 16:52:28 -0400",3.25,437147058,"Fri, 07 Apr 2017 16:52:28 -0400",-4
4.5,10.0,"This hauntingly good brew in your hand is rife with dark complexities. Seven malts were used to create deep flavors of coffee, chocolate, caramel, and molasses. A hint of bitterness and herbal character from carefully selected European and American hops help support the monolithic maltiness. A truly decadent brew that is intended to be poured into your favorite snifter and given time to warm up from its dark and cool resting place.",0,https://untappd.akamaized.net/site/beer_logos/beer-14964_c4262_sm.jpeg,Dark Apparition,jackie-o-s-pub-and-brewery-dark-apparition,Stout - Russian Imperial,14964,"Thu, 16 Dec 2010 11:39:58 +0000",15476,4.126,False,1,5083,https://untappd.akamaized.net/site/brewery_logos/brewery-JackieOsPubBrewery_5083.jpeg,Jackie O's Pub & Brewery,jackie-o-s-pub-brewery,http://www.facebook.com/JackieOsBrewery,jackieosbrewery,jackieosbrewery,http://www.jackieos.com,United States,Athens,OH,39.3276,-82.1023,1,436893982,"Thu, 06 Apr 2017 22:11:34 -0400","Thu, 06 Apr 2017 22:11:34 -0400",4.5,436893982,"Thu, 06 Apr 2017 22:11:34 -0400",-4
3.75,6.2,"It’s all about choosing a dream. Once the decision was made to open a brewery, we knew there could be no more appropriate a name for our founding beer. We combined three hop varieties over a ninety minute boil in three separate additions and a massive amount of hops added for the dry-hop. The smooth malt profile lets the hops do the talking. It’s complex and intricate, yet completely accessible - a labor of love to be shared with the world.",60,https://untappd.akamaized.net/site/beer_logos/beer-151412_05a8e_sm.jpeg,Really Cool Waterslides IPA,3-sheeps-brewing-company-really-cool-waterslides-ipa,IPA - American,151412,"Wed, 28 Mar 2012 18:32:18 +0000",16225,3.612,False,1,27118,https://untappd.akamaized.net/site/brewery_logos/brewery-27118_10938.jpeg,3 Sheeps Brewing Company,3-sheeps-brewing-company,https://www.facebook.com/3sheeps,3sheepsbrewing,3sheepsbrewing,http://www.3sheepsbrewing.com,United States,Sheboygan,WI,43.7596,-87.7218,1,436512018,"Wed, 05 Apr 2017 18:33:40 -0500","Wed, 05 Apr 2017 18:33:40 -0500",3.75,436512018,"Wed, 05 Apr 2017 18:33:40 -0500",-5
3.75,6.5,"Cashmere Hammer drinks like the best darn milkshake you’ve ever had. It’s rich, creamy, packed with chocolatey goodness and an earthy spice that can only come from rye malt. And, as if that isn’t rare enough, this beer is nitrogenated, something shockingly few breweries in the country can do in a bottle. We spent 18 months in research and development building our double-secret bottling line to get that smooth, velvety mouthfeel that only nitrogen can impart.",29,https://untappd.akamaized.net/site/beer_logos/beer-602114_e638d_sm.jpeg,Cashmere Hammer,3-sheeps-brewing-company-cashmere-hammer,Stout - American,602114,"Fri, 28 Feb 2014 12:12:58 +0000",10059,3.847,False,1,27118,https://untappd.akamaized.net/site/brewery_logos/brewery-27118_10938.jpeg,3 Sheeps Brewing Company,3-sheeps-brewing-company,https://www.facebook.com/3sheeps,3sheepsbrewing,3sheepsbrewing,http://www.3sheepsbrewing.com,United States,Sheboygan,WI,43.7596,-87.7218,1,436226545,"Tue, 04 Apr 2017 17:03:46 -0500","Tue, 04 Apr 2017 17:03:46 -0500",3.75,436226545,"Tue, 04 Apr 2017 17:03:46 -0500",-5
4.0,7.0,"Originally brewed as a one-off in celebration of the 300th batch at our original Minneapolis brewery, 300 was so well received we had to bring it back every year. It's an IPA built on a base of Weyermann Pilsner malt and heavily hopped from start to finish with Mosaic, one of our favorite -- and unfortunately nearly impossible to find -- hop varieties. At 74 IBU and just under 7% ABV, 300 is pure hop candy and brewed in only a small quantity each year, so get it while you can. ",74,https://untappd.akamaized.net/site/beer_logos/beer-494653_05eb8_sm.jpeg,300,fulton-beer-300,IPA - American,494653,"Sat, 02 Nov 2013 19:00:16 +0000",12714,3.984,False,1,2314,https://untappd.akamaized.net/site/brewery_logos/brewery-FultonBeer_2314.jpeg,Fulton Beer,fulton-beer,http://www.facebook.com/FultonBeer,fultonbeer,fultonbeer,http://fultonbeer.com,United States,Minneapolis,MN,44.9849,-93.279,1,436015081,"Mon, 03 Apr 2017 17:39:59 -0500","Mon, 03 Apr 2017 17:39:59 -0500",4.0,436015081,"Mon, 03 Apr 2017 17:39:59 -0500",-5
3.75,5.5,A blend of seven unique malts give this Brown Ale an earthy aroma and a flavor reminiscent of caramel with a slightly creamy finish. Madtown Nutbrown is available is available year-round on tap and in 12 oz. bottle 6-packs throughout Wisconsin and Illinois.,0,https://untappd.akamaized.net/site/beer_logos/beer-8049_21c10_sm.jpeg,Madtown Nutbrown,ale-asylum-madtown-nutbrown,Brown Ale - American,8049,"Mon, 08 Nov 2010 12:42:17 +0000",12928,3.657,False,1,20,https://untappd.akamaized.net/site/brewery_logos/brewery-AleAsylum_20.jpeg,Ale Asylum,ale-asylum,http://www.facebook.com/pages/Ale-Asylum/108187444095?sk=wall&filter=1,ale_asylum,ale_asylum,http://www.aleasylum.com,United States,Madison,WI,43.1203,-89.354,1,436014503,"Mon, 03 Apr 2017 17:38:06 -0500","Mon, 03 Apr 2017 17:38:06 -0500",3.75,436014503,"Mon, 03 Apr 2017 17:38:06 -0500",-5
4.25,5.3,"This pale ale features a refreshing résumé of bright citrus American hops harmonizing with a sugar cookie sweetness donated from Bohemian pilsner malt. The result is a crisp, glass-smooth ale worth repeating. Available year-round on tap in our taproom. Available in bottles March through June. ",0,https://untappd.akamaized.net/site/beer_logos/beer-708077_d7040_sm.jpeg,Tokyo Sauna,karben4-brewing-tokyo-sauna,Pale Ale - American,708077,"Sun, 08 Jun 2014 13:19:26 +0000",5682,3.705,False,1,49747,https://untappd.akamaized.net/site/brewery_logos/brewery-Karben4Brewing_49747.jpeg,Karben4 Brewing,karben4-brewing,http://www.facebook.com/Karben4,karben4brewing,Karben4,http://www.karben4.com/,United States,Madison,WI,43.1263,-89.3257,1,435458395,"Sat, 01 Apr 2017 23:00:06 -0500","Sat, 01 Apr 2017 23:00:06 -0500",4.25,435458395,"Sat, 01 Apr 2017 23:00:06 -0500",-5
5.0,5.8,This double dry hopped pale ale showcases the Citra hop for a well balanced beer that is delicate in body with a mild bitterness in the finish. Ferocious aromas of citrus and mango give a refreshing taste that is bright with just enough bite!,50,https://untappd.akamaized.net/site/beer_logos/beer-1569952_1a8a0_sm.jpeg,Double Dry Hop Pseudo Sue,toppling-goliath-brewing-co-double-dry-hop-pseudo-sue,Pale Ale - American,1569952,"Tue, 24 May 2016 13:34:29 +0000",11045,4.56,False,1,7532,https://untappd.akamaized.net/site/brewery_logos/brewery-7532_26551.jpeg,Toppling Goliath Brewing Co.,toppling-goliath-brewing,http://www.facebook.com/TGBREWS,TGbrews,theTGBNews,http://www.tgbrews.com/,United States,Decorah,IA,43.3083,-91.79700000000001,1,435458182,"Sat, 01 Apr 2017 22:59:31 -0500","Sat, 01 Apr 2017 22:59:31 -0500",5.0,435458182,"Sat, 01 Apr 2017 22:59:31 -0500",-5
